cluster_id,phrase,term
-1,Apollo,missions
-1,Connecticut,states
-1,Google,company's
-1,Moon,eugene
-1,Vogue,mag
-1,Vogue,magazine's
0,Anna Karenina,count
0,Count of Monte Cristo,imprisoned
0,David Copperfield,dickens'
0,Emma,austen novel
0,F. Scott Fitzgerald,beautiful
0,George Orwell,eric
0,Great Expectations,dickens novel
0,Great Expectations,philip
0,Kurt Vonnegut,champions
0,Kurt Vonnegut,trout
0,Tale of Two Cities,madame
0,Thomas Hardy,return
0,Ulysses,leopold
0,Wuthering Heights,emily
1,Afghanistan,soviets
1,Brazil,ii
1,Hitler,col
1,Hitler,von
1,India,empire
1,Joseph Stalin,lenin's
1,Paris,capital city
1,Ukraine,republics
1,Vietnam,north south
2,Guinness,beer
2,Johnson,company's
2,Liberty Bell,icon
2,Seattle,city's
3,Abraham Lincoln,great
3,Albert Einstein,relative
3,Albert Einstein,scientist
3,Barnum,taylor
3,Charles Lindbergh,lucky
3,George Washington Carver,scientist
3,Joe,figure
3,Muhammad Ali,cassius
3,Napoleon,little
3,Nobel Peace Prize,desmond
3,Shakespeare,avon
3,Supreme Court,group
4,Atlanta,baptist church
4,California,castle
4,California,tall
4,Florida,reef
4,France,country's
4,Frank Lloyd Wright,architect's
4,Massachusetts,witch
4,Michigan,state's upper
4,Michigan,upper lower
4,New Jersey,thomas
4,New Mexico,sw state
4,Pennsylvania,cocoa
4,Philadelphia,bell
4,Philadelphia,parade
4,Texas,hall
5,All-Star Game,event
5,Babe Ruth,home runs
5,Cleveland,city's
5,Dallas Cowboys,tom
5,Green Bay Packers,bart
5,Lakers,pat
5,Masters,event
5,Michael Jordan,bull
5,Notre Dame,school's
5,Peyton Manning,qb
5,Pittsburgh Steelers,terry
5,Tiger Woods,golf
5,Tom Brady,patriot
5,Tom Brady,qb
5,Wayne Gretzky,nhl's
5,Wimbledon,event
5,World Cup,trophy
6,Bible,translation
6,Cain,brother
6,Daniel,den
6,David,philistine
6,Hindu,religion's
6,Islam,religion's
6,Jacob,heaven
6,Matthew,collectors
6,Paul,epistle
6,Peter,disciple
6,Revelation,seal
6,Solomon,wisdom
7,Arbor Day,tree
7,Bastille Day,national holiday
7,Cinco de Mayo,mexican
7,Day of the Dead,mexican
7,Day of the Dead,ones
7,Diwali,hindus
7,Halloween,night
7,Hanukkah,day jewish
7,Hanukkah,jewish festival
7,Labor Day,peter
7,Passover,jewish festival
7,Saturday,that's named
7,Thanksgiving,celebration
7,Veterans Day,holidays
7,Veterans Day,nov
8,Chippendale,british
8,Mary Jane,brown
8,Stetson,hats
8,Stetson,west
8,Yves Saint Laurent,initials
9,American Express,slogan
9,Anheuser-Busch,brewing
9,Boeing,washington state's
9,Burger King,chain's
9,Campbell Soup Company,good
9,Coca-Cola,beverage
9,Costco,store
9,Ford,car maker
9,General Motors,auto
9,Hallmark,cards
9,Home Depot,chain
9,Home Depot,store
9,Kodak,cameras
9,Mattel,toys
9,Nike,shoes
9,Sears,retail
9,Sears,store
9,Walmart,retail
9,Wells Fargo,banking
9,Wells Fargo,wagon
10,America,trophy
10,Antarctica,continent's
10,Australia,continent's
10,Canada,alexander
10,Caribbean,body
10,Caribbean,water
10,Florida,state's
10,James Cook,captain's
10,James Cook,sea captain
10,Maine,ship
10,Northwest Passage,route
10,Pacific Ocean,vasco
10,Russia,vitus
10,Titanic,ship
11,Amsterdam,european city
11,Bangkok,thai city
11,Barcelona,catalan
11,Beijing,china's
11,Berlin,gate
11,Budapest,hungary
11,China,road
11,Dublin,gaelic
11,Italy,europe
11,Japan,nation
11,Prague,bohemian
11,Seoul,korea's
11,Sydney,australia's
11,Sydney,australian
11,Venice,italian city's
11,Vienna,austrian city
11,Warsaw,polish
12,Alexander Pope,essay
12,Alexander Pope,rape
12,Byron,lord's
12,Dylan Thomas,wales
12,Edgar Allan Poe,nevermore
12,Edward Lear,old man
12,Edward Lear,sea
12,Elizabeth Barrett Browning,leigh
12,Emily Dickinson,buzz
12,Emily Dickinson,stop
12,Ezra Pound,mental
12,Henry Wadsworth Longfellow,wreck
12,Leaves of Grass,ralph waldo
12,Leaves of Grass,whitman's
12,Maya Angelou,sings
12,Rudyard Kipling,ballad
12,Sylvia Plath,poem lady
12,T. S. Eliot,love song
12,Tennyson,king
12,Tennyson,lord's
12,Walt Whitman,grass
12,Walt Whitman,hear
12,Walt Whitman,sing
12,William Butler Yeats,irishman
13,Carrie Nation,crusade
13,Elizabeth Cady Stanton,woman's
13,Florence Nightingale,nurse
13,Florence Nightingale,nurses
13,Harvard,school
13,Helen Keller,teacher
13,Jacqueline Kennedy,vineyard
13,Margaret Mead,age
13,Martha Washington,daniel
13,Michelle Obama,mother
13,Oprah Winfrey,talking
13,Sojourner Truth,slave
13,Susan B. Anthony,coin
13,Susan B. Anthony,elizabeth
13,Vogue,worked
14,Black-eyed Susan,maryland's
14,Luther Burbank,potatoes
15,All My Children,erica
15,Amy Poehler,update
15,Arrested Development,george
15,Bewitched,stephens
15,Conan O'Brien,hosting
15,Conan O'Brien,late-night
15,Game of Thrones,king's
15,Happy Days,howard
15,Harrison Ford,george
15,Harrison Ford,marshall
15,Mad Men,don
15,Mary Tyler Moore Show,laura
15,Melrose Place,complex
15,Saturday Night Live,regulars
15,Simpsons,cartoon
15,Tina Fey,liz
15,Tonight Show,hosted
15,Tonight Show,steve
16,Greek,old
17,Andrew Lloyd Webber,composer's
17,Angels in America,roy
17,Arthur Miller,playwright's
17,August Wilson,playwright won
17,Book of Mormon,trey
17,Chekhov,orchard
17,Chekhov,playwright's
17,Chicago,cell
17,Edward Albee,women
17,Eugene O'Neill,playwright's
17,Fiddler on the Roof,village
17,George Bernard Shaw,playwright's
17,London,city's
17,Neil Simon,playwright's
17,Oklahoma,oh
17,Oscar Wilde,importance
17,Shakespeare,anne
17,Stephen Sondheim,composer's
17,Stephen Sondheim,music
17,Street,thoroughfare
17,Tennessee Williams,playwright's
17,Tony Award,perry
17,Wicked,wizard
18,Arkansas,crater
18,Colorado,rocky mountain
18,Kentucky,horse
18,Louisiana,parishes
18,Minnesota,lake lake
18,New Mexico,sun symbol
18,New York,eastman
18,Vermont,green mountain
18,Wisconsin,dairy
19,Alfred Hitchcock,director's
19,Batman,city
19,Ben Affleck,good
19,Brad Pitt,louise
19,Clint Eastwood,wales
19,George Clooney,michael
19,Humphrey Bogart,wife
19,Jack Nicholson,pieces
19,James Bond,roger
19,John Wayne,true
19,Katharine Hepburn,oscars
19,King Kong,beast
19,Matt Damon,good
19,Matt Damon,pizza
19,Mel Gibson,mad
19,Mel Gibson,weapon
19,Paul Newman,cassidy
19,Robert Redford,film festival
19,Shakespeare,joseph
19,Star Wars,george
19,The Godfather,don
